ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);"PM10 
(ug/m3)";"PM2.5 
(ug/m3)";SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 00:00;2144.63;16.13;33.07;30.86;13.02;5.78;5.29;73.73;0.00;96.10;-12.11913;-77.02885;1004.90;16.66
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 01:00;1995.88;16.46;30.39;28.66;13.56;6.17;4.45;64.07;0.00;96.10;-12.11913;-77.02885;1004.70;16.58
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 02:00;1881.72;15.91;24.26;32.90;11.00;5.42;4.11;69.01;0.00;96.10;-12.11913;-77.02885;1004.27;16.68
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 03:00;1956.82;16.31;25.57;30.06;7.93;4.45;3.98;76.32;0.00;96.10;-12.11913;-77.02885;1003.59;16.59
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 04:00;1963.88;16.70;26.49;32.21;7.81;4.44;4.24;69.77;0.00;96.10;-12.11913;-77.02885;1003.24;16.51
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 05:00;1915.57;16.33;25.69;26.35;7.63;4.47;4.30;68.33;0.00;96.10;-12.11913;-77.02885;1003.44;16.59
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 06:00;1993.27;16.44;27.37;28.96;6.54;4.09;4.92;78.66;0.00;96.10;-12.11913;-77.02885;1004.09;16.58
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 07:00;2384.03;16.31;30.98;37.38;9.24;4.96;8.63;86.48;0.00;96.10;-12.11913;-77.02885;1004.57;16.66
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 08:00;2583.70;15.24;29.29;40.58;10.77;5.21;9.81;88.29;0.05;96.10;-12.11913;-77.02885;1005.02;16.93
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 09:00;2729.37;14.14;26.41;42.88;8.45;4.47;10.46;88.41;0.12;96.10;-12.11913;-77.02885;1005.59;17.18
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 10:00;2631.89;12.88;25.63;49.30;6.67;3.18;9.25;93.95;0.24;96.10;-12.11913;-77.02885;1005.93;17.45
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 11:00;2704.81;12.24;24.14;65.02;5.70;2.79;9.74;97.21;0.43;96.10;-12.11913;-77.02885;1005.53;17.60
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 12:00;2462.70;13.10;20.68;63.84;5.25;2.70;7.39;96.08;0.47;96.10;-12.11913;-77.02885;1004.92;17.37
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/06/2021 13:00;2561.61;14.40;25.90;61.30;5.46;2.77;7.98;92.32;0.33;96.10;-12.11913;-77.02885;1004.09;17.10
